"Date","home","away","Home Score","Away Score","result","Tries scored H","Tries scored A","Neutral venue","Crowds"
2010-09-25,"Bath","Sale Sharks",31,16,"Home",NA,NA,0,1
2010-09-25,"Gloucester","Wasps",22,20,"Home",NA,NA,0,1
2010-09-25,"Leicester Tigers","Yorkshire",48,6,"Home",NA,NA,0,1
2010-09-25,"Harlequins","Exeter Chiefs",40,13,"Home",NA,NA,0,1
2010-09-25,"Newcastle Falcons","London Irish",12,46,"Away",NA,NA,0,1
2010-09-26,"Saracens","Northampton Saints",24,17,"Home",NA,NA,0,1
2010-10-01,"Sale Sharks","Wasps",24,25,"Away",NA,NA,0,1
2010-10-01,"Bath","Gloucester",3,18,"Away",NA,NA,0,1
2010-10-02,"Northampton Saints","Exeter Chiefs",27,21,"Home",NA,NA,0,1
2010-10-02,"London Irish","Yorkshire",40,24,"Home",NA,NA,0,1
2010-10-02,"Harlequins","Newcastle Falcons",23,12,"Home",NA,NA,0,1
2010-10-03,"Saracens","Leicester Tigers",26,20,"Home",NA,NA,0,1
2010-10-22,"Yorkshire","Sale Sharks",3,6,"Away",NA,NA,0,1
2010-10-22,"Newcastle Falcons","Saracens",13,15,"Away",NA,NA,0,1
2010-10-23,"Leicester Tigers","Bath",21,15,"Home",NA,NA,0,1
2010-10-23,"Gloucester","Harlequins",33,26,"Home",NA,NA,0,1
2010-10-23,"Exeter Chiefs","London Irish",9,12,"Away",NA,NA,0,1
2010-10-24,"Wasps","Northampton Saints",10,37,"Away",NA,NA,0,1
2010-10-30,"Northampton Saints","Newcastle Falcons",34,13,"Home",NA,NA,0,1
2010-10-30,"Saracens","Exeter Chiefs",9,23,"Away",NA,NA,0,1
2010-10-30,"Gloucester","Leicester Tigers",19,12,"Home",NA,NA,0,1
2010-10-31,"Harlequins","Bath",6,6,"Draw",NA,NA,0,1
2010-10-31,"Yorkshire","Wasps",8,17,"Away",NA,NA,0,1
2010-10-31,"London Irish","Sale Sharks",39,26,"Home",NA,NA,0,1
2010-11-19,"Sale Sharks","Northampton Saints",10,19,"Away",NA,NA,0,1
2010-11-19,"Leicester Tigers","Harlequins",18,13,"Home",NA,NA,0,1
2010-11-20,"Exeter Chiefs","Yorkshire",15,9,"Home",NA,NA,0,1
2010-11-21,"Wasps","London Irish",33,25,"Home",NA,NA,0,1
2010-11-21,"Newcastle Falcons","Gloucester",12,6,"Home",NA,NA,0,1
2010-11-21,"Bath","Saracens",13,17,"Away",NA,NA,0,1
2010-11-26,"Northampton Saints","London Irish",35,23,"Home",NA,NA,0,1
2010-11-27,"Leicester Tigers","Newcastle Falcons",44,19,"Home",NA,NA,0,1
2010-11-27,"Exeter Chiefs","Sale Sharks",24,19,"Home",NA,NA,0,1
2010-11-27,"Gloucester","Saracens",19,13,"Home",NA,NA,0,1
